BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2,10000,1100,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,20000,800,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,17000,1000,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,10000,800,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,7500,850,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,7000,600,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,10000,700,0,Super Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
1,5000,250,1,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent
2,26000,800,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2,10000,1000,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,25000,1200,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,5000,400,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
1,6500,250,1,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Owner
1,5500,375,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
3,8500,900,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
3,40000,1286,1,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2,6000,600,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,10000,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,11000,2000,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,6000,660,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,7900,650,1,Carpet Area,Kolkata,Unfurnished,Family,1,Contact Owner
2,9000,400,2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
1,4000,300,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,6500,1600,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,8000,400,1,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2,7000,1000,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,5300,355,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,6000,1000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,8500,800,4,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
